trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
143,SELL,124.15,2025-03-13,14:00:00,BUY,123.75999999999999,2025-03-13,23:00:00,71.75906723863163,27.986036223067398,0.31413612565446214
144,SELL,133.21,2025-03-15,01:30:00,BUY,134.09,2025-03-15,02:15:00,66.95123963101011,-58.917090875288594,-0.6606110652353393
145,SELL,133.43,2025-03-15,06:00:00,BUY,134.11,2025-03-15,12:30:00,66.29395287326412,-45.079887953820055,-0.509630517874546
146,SELL,133.85,2025-03-15,19:15:00,BUY,135.16,2025-03-15,20:45:00,65.63519175541143,-85.98210119958912,-0.9787075084049326
147,SELL,134.51,2025-03-16,02:15:00,BUY,135.63,2025-03-16,06:45:00,64.58125241936031,-72.33100270968384,-0.83265184744629
148,SELL,134.09,2025-03-16,07:15:00,BUY,127.82,2025-03-17,01:45:00,64.15230026345002,402.2349226518323,4.67596390484004
149,SELL,127.83000000000001,2025-03-17,06:45:00,BUY,128.65,2025-03-17,07:15:00,70.15835951131467,-57.52985479927755,-0.6414769615896058
150,SELL,128.29,2025-03-17,12:45:00,BUY,128.29,2025-03-17,18:00:00,69.34212961049845,0.0,0.0
151,SELL,127.84,2025-03-17,23:30:00,BUY,125.44,2025-03-18,08:45:00,69.45942596677303,166.70262232025564,1.877346683354197
152,SELL,124.18,2025-03-18,10:30:00,BUY,123.7,2025-03-18,18:15:00,72.65319688779968,34.87353450614413,0.3865356740215848
153,SELL,124.27999999999999,2025-03-19,02:45:00,BUY,125.07000000000001,2025-03-19,03:15:00,72.71780257979243,-57.44706403803751,-0.6356614097200036
154,SELL,133.55,2025-03-20,02:15:00,BUY,133.91,2025-03-20,02:45:00,67.13267105137297,-24.167761578493277,-0.2695619618120443
155,SELL,133.36,2025-03-20,04:15:00,BUY,134.31,2025-03-20,06:30:00,66.92824914833429,-63.581836690916816,-0.7123575284942926
156,SELL,133.43,2025-03-20,10:00:00,BUY,128.65,2025-03-21,01:15:00,66.3128952359921,316.9756392280423,3.5824027580004505
157,SELL,127.87,2025-03-21,04:00:00,BUY,128.33,2025-03-21,04:15:00,71.41653228965275,-32.851604853240836,-0.359740361304456
158,SELL,127.75,2025-03-21,05:30:00,BUY,128.15,2025-03-21,08:30:00,71.10884583010754,-28.44353833204342,-0.31311154598826274
159,SELL,127.53,2025-03-21,10:00:00,BUY,128.96,2025-03-21,18:45:00,70.87852263929173,-101.35628737418766,-1.121304791029567
160,SELL,128.0,2025-03-22,03:00:00,BUY,128.68,2025-03-22,03:30:00,69.7311745469231,-47.41719869190818,-0.5312500000000053
161,SELL,129.43,2025-03-22,13:45:00,BUY,129.77,2025-03-22,18:45:00,68.48144041259071,-23.283689740281076,-0.26269025728193107
162,SELL,129.03,2025-03-22,21:00:00,BUY,128.94,2025-03-23,02:15:00,68.39692530314872,6.155723277283618,0.06975122064636395
163,SELL,132.04,2025-03-23,16:45:00,BUY,131.81,2025-03-23,23:30:00,66.75508233792235,15.353668937721457,0.17418963950317312
164,SELL,141.62,2025-03-24,18:30:00,BUY,142.74,2025-03-24,19:30:00,62.22422253452183,-69.69112923866473,-0.7908487501765319
165,SELL,142.35,2025-03-24,19:45:00,BUY,142.7,2025-03-24,20:00:00,61.32194202064161,-21.462679707224215,-0.24587284861257064
166,SELL,141.8,2025-03-24,21:00:00,BUY,139.97,2025-03-25,08:30:00,61.30321653376213,112.18488625678548,1.2905500705218704
167,SELL,144.03,2025-03-25,21:30:00,BUY,143.82,2025-03-26,06:45:00,60.9715980096466,12.804035582026271,0.1458029577171478
168,SELL,143.42,2025-03-26,13:30:00,BUY,138.22,2025-03-27,01:30:00,61.19946782646378,318.237232697611,3.625714684144463
169,SELL,138.57,2025-03-27,07:15:00,BUY,138.91,2025-03-27,07:30:00,65.41419337615268,-22.240825747892135,-0.24536335426138658
170,SELL,138.64,2025-03-27,07:45:00,BUY,138.8,2025-03-27,08:00:00,65.0996701953268,-10.415947231253915,-0.11540680900174916
171,SELL,138.27,2025-03-27,08:15:00,BUY,139.69,2025-03-27,15:00:00,65.08292301559649,-92.4177506821462,-1.0269762059738101
172,SELL,137.45,2025-03-27,18:00:00,BUY,138.97,2025-03-27,18:45:00,64.7026711252891,-98.3480601104401,-1.105856675154609
173,SELL,138.14,2025-03-27,23:45:00,BUY,129.83,2025-03-29,00:15:00,63.58474359177034,528.3892192476098,6.015636310988834
174,SELL,128.94,2025-03-29,02:30:00,BUY,126.26,2025-03-29,16:00:00,71.88415950878853,192.64954748355274,2.0784861175740597
175,SELL,125.21,2025-03-29,17:00:00,BUY,125.05000000000001,2025-03-30,01:30:00,75.34206198323955,12.054729917317,0.12778532066127496
176,SELL,125.39000000000001,2025-03-30,08:00:00,BUY,126.04,2025-03-30,09:00:00,75.194390219751,-48.87635364283751,-0.5183826461440237
177,SELL,124.86,2025-03-30,10:45:00,BUY,125.54999999999998,2025-03-30,18:30:00,74.99182516847173,-51.74435936624426,-0.5526189332051766
178,SELL,123.83000000000001,2025-03-30,22:15:00,BUY,126.29,2025-03-31,01:45:00,75.08062010453914,-184.6983254571658,-1.9865945247516705
179,SELL,124.54,2025-03-31,04:30:00,BUY,125.87,2025-03-31,05:15:00,73.10028720544614,-97.22338198324324,-1.0679299823349915
180,SELL,124.22,2025-03-31,09:15:00,BUY,125.78,2025-03-31,13:15:00,72.39918501076286,-112.94272861679023,-1.2558364192561602
